--------- beginning of main
09-18 16:49:39.670 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:49:39.668Z ChatBatchReceived(messages=1 reactions=0 ids=b41c3ec6)
09-18 16:49:40.674 I/HEM96   (11188): HOLD CHAT id=9b070c08-0aa1-4af4-946c-c94ec10c27d6 user=hem96-an created=2026-09-18T23:48:23Z received=2026-09-18T23:49:40.672Z dup=false text=LclientB-fixrun3 s0 n14 2026-09-18T23:48
09-18 16:49:40.677 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:49:40.675Z ChatBatchReceived(messages=1 reactions=0 ids=9b070c08)
09-18 16:49:42.481 I/HEM96   (11188): HOLD t=220s state=Active conn=Connected events=48 reconnecting=24 batches=14 chats=14 dup=0 streamUpdated=2 participants=0 polls=4 pss_kb=61729
09-18 16:49:42.626 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:49:42.626Z StreamUpdated(state=LIVE viewers=1)
09-18 16:49:42.680 I/HEM96   (11188): HOLD CHAT id=172617ab-19de-4d90-85f9-2ca559a92708 user=hem96-an created=2026-09-18T23:48:33Z received=2026-09-18T23:49:42.680Z dup=false text=LclientB-fixrun3 s0 n15 2026-09-18T23:48
09-18 16:49:42.681 I/HEM96   (11188): HOLD CHAT id=f3e01031-59f3-48e5-8f04-1bfc48818071 user=hem96-an created=2026-09-18T23:48:43Z received=2026-09-18T23:49:42.681Z dup=false text=LclientB-fixrun3 s0 n16 2026-09-18T23:48
09-18 16:49:42.682 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:49:42.682Z ChatBatchReceived(messages=2 reactions=0 ids=172617ab,f3e01031)
09-18 16:49:43.015 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:49:43.015Z StreamUpdated(state=LIVE viewers=2)
09-18 16:49:43.687 I/HEM96   (11188): HOLD CHAT id=26c189c4-b76a-4bbb-81f2-2273be5809c7 user=hem96-an created=2026-09-18T23:48:53Z received=2026-09-18T23:49:43.685Z dup=false text=LclientB-fixrun3 s0 n17 2026-09-18T23:48
09-18 16:49:43.689 I/HEM96   (11188): HOLD CHAT id=498f574c-5a15-4e30-872c-0742c977b3b8 user=hem96-an created=2026-09-18T23:49:03Z received=2026-09-18T23:49:43.688Z dup=false text=LclientB-fixrun3 s0 n18 2026-09-18T23:49
09-18 16:49:43.690 I/HEM96   (11188): HOLD CHAT id=026c5880-f036-4978-8c04-a84e3083decd user=hem96-an created=2026-09-18T23:49:13Z received=2026-09-18T23:49:43.689Z dup=false text=LclientB-fixrun3 s0 n19 2026-09-18T23:49
09-18 16:49:43.690 I/HEM96   (11188): HOLD CHAT id=5bd872b6-47a9-42e0-9480-5c5b9bd2082e user=hem96-an created=2026-09-18T23:49:24Z received=2026-09-18T23:49:43.690Z dup=false text=LclientB-fixrun3 s0 n20 2026-09-18T23:49
09-18 16:49:43.691 I/HEM96   (11188): HOLD CHAT id=ad7909b0-b378-4cbb-9f5e-899764e521ae user=hem96-an created=2026-09-18T23:49:34Z received=2026-09-18T23:49:43.691Z dup=false text=LclientB-fixrun3 s0 n21 2026-09-18T23:49
09-18 16:49:43.692 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:49:43.691Z ChatBatchReceived(messages=5 reactions=0 ids=26c189c4,498f574c,026c5880,5bd872b6,ad7909b0)
09-18 16:49:47.701 I/HEM96   (11188): HOLD CHAT id=e206a0dd-2112-4f37-8484-fa31528f8f90 user=hem96-an created=2026-09-18T23:49:44Z received=2026-09-18T23:49:47.701Z dup=false text=LclientB-fixrun3 s0 n22 2026-09-18T23:49
09-18 16:49:47.702 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:49:47.702Z ChatBatchReceived(messages=1 reactions=0 ids=e206a0dd)
09-18 16:49:52.493 I/HEM96   (11188): HOLD t=230s state=Active conn=Connected events=53 reconnecting=24 batches=17 chats=22 dup=0 streamUpdated=4 participants=0 polls=4 pss_kb=60149
09-18 16:49:56.726 I/HEM96   (11188): HOLD CHAT id=a592597a-7038-4d4d-8783-af30825c3335 user=hem96-an created=2026-09-18T23:49:54Z received=2026-09-18T23:49:56.725Z dup=false text=LclientB-fixrun3 s0 n23 2026-09-18T23:49
09-18 16:49:56.729 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:49:56.727Z ChatBatchReceived(messages=1 reactions=0 ids=a592597a)
09-18 16:50:02.118 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:50:02.117Z ParticipantsUpdated(host=a533e186 cohosts=0 guests=0 waiting=0 room=[fff4c1ac, hem96-an])
09-18 16:50:02.509 I/HEM96   (11188): HOLD t=240s state=Active conn=Connected events=55 reconnecting=24 batches=18 chats=23 dup=0 streamUpdated=4 participants=1 polls=4 pss_kb=61517
09-18 16:50:05.775 I/HEM96   (11188): HOLD CHAT id=a857bcc2-26d2-4313-bac4-86332c241e75 user=hem96-an created=2026-09-18T23:50:04Z received=2026-09-18T23:50:05.773Z dup=false text=LclientB-fixrun3 s0 n24 2026-09-18T23:50
09-18 16:50:05.778 I/HEM96   (11188): HOLD EVENT 2026-09-18T23:50:05.777Z ChatBatchReceived(messages=1 reactions=0 ids=a857bcc2)
09-18 16:50:12.520 I/HEM96   (11188): HOLD t=250s state=Active conn=Connected events=56 reconnecting=24 batches=19 chats=24 dup=0 streamUpdated=4 participants=1 polls=4 pss_kb=62221
